No.,Name,Birth Year,Death Year,Position,Succeeded,Tenure Start,Tenure End,Tenure Length,Appointed By
1,Cayetano Arellano,1847,1920,Chief Justice,Inaugural,June 15 1901,April 12 1920,18 years 302 days,William McKinley
2,Florentino Torres,1844,1926,Associate Justice,Inaugural,June 15 1901,April 20 1920,18 years 310 days,William McKinley
3,Victorino Mapa,1852,1927,Associate Justice,Inaugural,June 15 1901,October 31 1913,12 years 138 days,William McKinley
4,James Francis Smith,1859,1928,Associate Justice,Inaugural,June 15 1901,February 17 1903,1 year 247 days,William McKinley
5,Joseph F. Cooper,1854,1942,Associate Justice,Inaugural,June 15 1901,October 17 1904,3 years 124 days,William McKinley
6,Charles Andrew Willard,1857,1914,Associate Justice,Inaugural,June 15 1901,April 24 1904,2 years 314 days,William McKinley
7,Fletcher Ladd,1862,1903,Associate Justice,Inaugural,June 15 1901,July 13 1903,2 years 28 days,William McKinley
8,John T. McDonough,1843,1917,Associate Justice,Smith,February 18 1903,May 1 1904,1 year 73 days,Theodore Roosevelt
9,Elias Finley Johnson,1861,1933,Associate Justice,Ladd,October 3 1903,April 1 1933,29 years 180 days,Theodore Roosevelt
10,Adam Clarke Carson,1869,1941,Associate Justice,Willard,November 16 1904,November 30 1920,16 years 14 days,Theodore Roosevelt
11,James F. Tracey,1854,1925,Associate Justice,McDonough,July 1 1905,July 2 1909,4 years 1 day,Theodore Roosevelt
12,Sherman Moreland,1868,1951,Associate Justice,Cooper,February 1 1909,April 23 1917,8 years 81 days,Theodore Roosevelt
13,Charles B. Elliott,1861,1935,Associate Justice,Tracey,September 1 1909,February 13 1910,165 days,William Howard Taft
14,Grant Trent,1869,1943,Associate Justice,Elliott,February 28 1910,April 23 1917,7 years 54 days,William Howard Taft
15,Manuel Araullo,1853,1924,Associate Justice,Mapa,December 16 1913,November 1 1921,7 years 320 days,Woodrow Wilson
16,Thomas Street,1872,1936,Associate Justice,Moreland,June 13 1917,June 1 1935,17 years 353 days,Woodrow Wilson
17,George A. Malcolm,1881,1961,Associate Justice,Trent,July 9 1917,January 20 1936,18 years 195 days,Woodrow Wilson
18,Ramon Avancena,1872,1957,Associate Justice,New seat,October 31 1917,March 31 1925,7 years 151 days,Woodrow Wilson
19,Frederick Charles Fisher,1879,1964,Associate Justice,New seat,November 17 1917,November 16 1918,364 days,Woodrow Wilson
20,Percy Moir,1870,1928,Associate Justice,Fisher,November 25 1918,November 20 1920,1 year 361 days,Woodrow Wilson
21,Ignacio Villamor,1863,1933,Associate Justice,F. Torres,May 19 1920,May 25 1933,14 years 6 days,Woodrow Wilson
3-CJ,Victorino Mapa,1852,1927,Chief Justice,Arellano,July 1 1920,October 31 1921,1 year 122 days,Woodrow Wilson
22,James Ostrand,1871,1937,Associate Justice,Moir,September 27 1921,June 30 1933,11 years 276 days,Warren G. Harding
23,Charles A. Johns,1857,1932,Associate Justice,Carson,October 7 1921,January 11 1932,10 years 96 days,Warren G. Harding
15-CJ,Manuel Araullo,1853,1924,Chief Justice,Mapa,November 1 1921,July 26 1924,2 years 268 days,Warren G. Harding
24,Norberto Romualdez,1875,1941,Associate Justice,Araullo,November 1 1921,April 1 1932,10 years 152 days,Warren G. Harding
18-CJ,Ramon Avancena,1872,1957,Chief Justice,Araullo,April 1 1925,December 24 1941,16 years 267 days,Calvin Coolidge
25,Antonio Villareal,1880,1945,Associate Justice,Avanceña,June 16 1925,June 5 1940,14 years 355 days,Calvin Coolidge
26,John A. Hull,1874,1944,Associate Justice,New seat,June 1 1932,February 1 1936,3 years 245 days,Herbert Hoover
27,James C. Vickers,1877,1945,Associate Justice,Johns,June 1 1932,February 1 1936,3 years 245 days,Herbert Hoover
28,Jose Abad Santos,1886,1942,Associate Justice,New seat,June 18 1932,December 5 1938,6 years 170 days,Herbert Hoover
29,Carlos Imperial,1880,1941,Associate Justice,Romualdez,June 22 1932,May 20 1941,8 years 332 days,Herbert Hoover
30,George C. Butte,1877,1940,Associate Justice,Johnson,July 1 1932,February 1 1936,3 years 215 days,Herbert Hoover
31,Anacleto Diaz,1878,1945,Associate Justice,I. Villamor,November 20 1933,December 19 1941,8 years 29 days,Franklin D. Roosevelt
32,Leonard Goddard,1871,1959,Associate Justice,Ostrand,January 9 1934,February 1 1936,2 years 23 days,Franklin D. Roosevelt
33,Claro M. Recto,1890,1960,Associate Justice,Street,July 3 1935,November 1 1936,1 year 121 days,Franklin D. Roosevelt
34,Jose P. Laurel,1891,1959,Associate Justice,Malcolm,February 29 1936,February 5 1942,5 years 342 days,Manuel L. Quezon
35,Pedro Concepcion,1893,1969,Associate Justice,Hull,October 31 1936,January 1 1940,3 years 62 days,Manuel L. Quezon
36,Manuel Moran,1893,1961,Associate Justice,Vickers,December 12 1938,July 9 1945,6 years 209 days,Manuel L. Quezon
37,Roman Ozaeta,1891,1972,Associate Justice,Butte,June 24 1941,May 29 1946,4 years 339 days,Manuel L. Quezon
